country_code,year,tourist_arrivals,tourist_departures
AFE,2010,29071500.5114406,
AFE,2011,31650243.8841427,
AFE,2012,32748552.3906752,
AFE,2013,34426632.6796927,
AFE,2014,35738392.2140136,
AFE,2015,35318681.4645499,
AFE,2016,37645887.774466,
AFE,2017,38258347.875597,
AFE,2018,41189145.2687099,
AFE,2019,39826701.4025488,
AFW,2010,11070796.4548825,
AFW,2011,8902380.17844765,
AFW,2012,10221030.3977021,
AFW,2013,10085818.9405127,
AFW,2014,10544624.002472,
AFW,2015,13311681.7254405,
AFW,2016,13150775.3380124,
AFW,2017,,
AFW,2018,,
AFW,2019,,
ARB,2010,130381603.794372,
ARB,2011,109790026.216047,
ARB,2012,122650455.800156,
ARB,2013,122579989.796455,
ARB,2014,130620704.114,
ARB,2015,122563985.747808,
ARB,2016,115219915.34879,
ARB,2017,122153139.690839,
ARB,2018,131892640.892491,
ARB,2019,142447574.174804,
CEB,2010,211503443.345688,103082009.027484
CEB,2011,219665361.603973,102137000.0
CEB,2012,230513827.817575,104157000.0
CEB,2013,239484451.83792,108876000.0
CEB,2014,247176982.109666,93128000.0
CEB,2015,265484205.126514,104174000.0
CEB,2016,282858334.211699,109447000.0
CEB,2017,293799709.735875,119458000.0
CEB,2018,301502122.473578,128530000.0
CEB,2019,314638365.070248,136609000.0
CSS,2010,14853000.0,
CSS,2011,15421000.0,
CSS,2012,15540000.0,
CSS,2013,15674000.0,
CSS,2014,16644000.0,
CSS,2015,17200000.0,
CSS,2016,17638000.0,
CSS,2017,18488000.0,
CSS,2018,19669834.9167994,
CSS,2019,19819087.2645395,
EAP,2010,200103460.758153,81845597.3846253
EAP,2011,208057749.328703,97463919.6705647
EAP,2012,211756290.50135,113847239.704488
EAP,2013,217301338.453645,133004491.784496
EAP,2014,219499632.736013,155347356.595155
EAP,2015,232372388.217065,170248441.21106
EAP,2016,246129470.434008,181136727.209652
EAP,2017,267094231.846656,192151378.081103
EAP,2018,281129640.985927,202247515.925715
EAP,2019,292842169.375777,210530956.276378
EAR,2010,260218031.214228,233443159.938521
EAR,2011,251178035.987064,230622330.143053
EAR,2012,266770386.702611,240569262.836155
EAR,2013,276291315.740777,262592017.358017
EAR,2014,298030473.740635,268751796.442165
EAR,2015,305091375.489381,291665952.641532
EAR,2016,301876958.468592,312536177.805357
EAR,2017,326787964.841898,323293789.658034
EAR,2018,350576700.187856,309760109.930838
EAR,2019,369336988.869679,309162984.624182
EAS,2010,306945190.111902,236680060.321045
EAS,2011,324630664.831323,254609640.199161
EAS,2012,341731569.316526,275983951.222562
EAS,2013,359795035.595933,296517180.446701
EAS,2014,378067655.467914,321003450.370821
EAS,2015,395583346.130267,345737393.819342
EAS,2016,422310009.824166,366330196.106592
EAS,2017,449587158.558471,384699656.285346
EAS,2018,480202482.119432,402010474.201487
EAS,2019,490804002.09165,415489956.286309
ECA,2010,119087288.364319,110297645.238854
ECA,2011,132498762.088979,123276429.934997
ECA,2012,142150827.948523,132546898.107873
ECA,2013,151065267.842946,147039143.726103
ECA,2014,140838191.796523,136995126.794444
ECA,2015,142759135.170721,129803442.215048
ECA,2016,134101499.894963,133101122.487867
ECA,2017,149456827.794733,153450258.678131
ECA,2018,169084765.500036,165722068.044527
ECA,2019,180880471.54687,174307497.882602
ECS,2010,869779367.121323,554242170.536358
ECS,2011,918783439.730949,573579334.712143
ECS,2012,944560917.641592,585069762.754391
ECS,2013,980013821.128415,608350743.356874
ECS,2014,997036505.326425,587759571.430501
ECS,2015,1026805426.07725,604738772.886786
ECS,2016,1055431735.20262,626599435.232651
ECS,2017,1112981075.45227,682564892.562025
ECS,2018,1157868194.79519,729507921.231368
ECS,2019,1199188498.74821,740715759.48271
EMU,2010,491730015.731549,261465779.150173
EMU,2011,514734250.164405,263529591.144957
EMU,2012,520092217.303124,259790000.0
EMU,2013,539066000.0,262622000.0
EMU,2014,555108000.0,265842000.0
EMU,2015,571048000.0,271600000.0
EMU,2016,590598000.0,285847000.0
EMU,2017,617852000.0,311204000.0
EMU,2018,638607601.5625,338485601.5625
EMU,2019,655573447.522239,337838000.0
EUU,2010,708410742.423597,364844521.718947
EUU,2011,743016204.714531,364843479.061749
EUU,2012,759681881.470208,365610235.134759
EUU,2013,784371000.0,372957185.750037
EUU,2014,809619000.0,360809409.367365
EUU,2015,835937000.0,378470721.966819
EUU,2016,870371000.0,397789572.067647
EUU,2017,910869000.0,431349338.134929
EUU,2018,938485601.5625,461906449.256894
EUU,2019,968873375.260994,468662306.320796
FCS,2010,36919296.5718662,
FCS,2011,30416045.1248991,
FCS,2012,32472105.7294532,
FCS,2013,33260753.9404232,
FCS,2014,,
FCS,2015,,
FCS,2016,,
FCS,2017,,
FCS,2018,,
FCS,2019,,
HPC,2010,17437169.2644298,
HPC,2011,19068517.6045939,
HPC,2012,20446470.3779588,
HPC,2013,21285585.1472542,
HPC,2014,21852006.860836,
HPC,2015,23619335.2534751,
HPC,2016,25289047.2324128,
HPC,2017,27119321.1667896,
HPC,2018,29458450.954646,
HPC,2019,29134874.0028677,
IBD,2010,618728471.107818,400055012.099144
IBD,2011,631384271.543576,429376700.015326
IBD,2012,653441089.991949,463213880.274952
IBD,2013,674498601.173663,509920169.684915
IBD,2014,683100776.631217,505478327.819251
IBD,2015,710624637.033822,534814850.543127
IBD,2016,732382440.830946,561469376.825592
IBD,2017,787599416.866195,600371929.967206
IBD,2018,823988846.49919,606878384.495997
IBD,2019,852166955.667661,624278730.485044
IBT,2010,695222797.512301,519544732.205971
IBT,2011,706710380.463478,560021930.814032
IBT,2012,733806691.50248,604687544.171714
IBT,2013,759074427.760916,667710870.025045
IBT,2014,771435636.913848,662446773.989546
IBT,2015,805369212.147884,700888228.536053
IBT,2016,826247856.778612,732541192.545927
IBT,2017,889465190.836547,783131240.434751
IBT,2018,939010262.98174,799318916.105226
IBT,2019,974462802.208958,819595044.687584
IDB,2010,,
IDB,2011,,
IDB,2012,,
IDB,2013,,
IDB,2014,,
IDB,2015,,
IDB,2016,,
IDB,2017,,
IDB,2018,,
IDB,2019,,
TEA,2010,197693903.397956,80833199.9354773
TEA,2011,205576450.423001,96258329.793876
TEA,2012,209238311.638102,112438994.682734
TEA,2013,214704672.466978,131359279.182833
TEA,2014,216907017.848004,153425771.652599
TEA,2015,229644083.48217,168142535.785341
TEA,2016,243207453.386259,178896138.02179
TEA,2017,263898378.255022,189774542.047939
TEA,2018,277743234.61904,199745794.687644
TEA,2019,289300101.805405,207926772.179593
TEC,2010,228004885.432018,159956286.406538
TEC,2011,244817219.02465,173796366.803685
TEC,2012,258377683.993857,187912954.979517
TEC,2013,273457449.6319,207108018.701058
TEC,2014,267581214.264126,178269882.990996
TEC,2015,278325392.262029,180141229.278772
TEC,2016,274218218.147916,181773707.044354
TEC,2017,294608725.405586,204344687.053711
TEC,2018,314784745.548675,218948144.645172
TEC,2019,331546366.211299,230131574.320451
,2010,1124271992.40308,811128570.146149
,2011,1153167524.77879,819893615.548784
,2012,1215900943.44328,838746662.143907
,2013,1266070914.76608,857227623.488973
,2014,1315757995.17859,850607287.974686
,2015,1349915164.10243,889669300.853578
,2016,1403510281.67581,928589865.768957
,2017,1453128423.16718,982228992.375895
,2018,1491870217.10045,1016965040.25269
,2019,1522430052.79407,1037956545.53865
